Account,Project Name,Region,Practice,Project Manager,Start Date,End Date,Record ID
St. Jude Children’s Research Hospital,St Jude July-Sep2015,NATL,Enterprise Web,Mike Green,7/1/2015,9/30/2015,a1D70000002dFzn
St. Jude Children’s Research Hospital,St Jude Oct-Dec2015,NATL,Enterprise Web,Mike Green,10/1/2015,12/31/2015,a1D70000003Uah0
St. Jude Children’s Research Hospital,St Jude Search Workshop,NATL,,Mike Green,9/8/2014,9/12/2014,a1D70000002L28z
St. Jude Children’s Research Hospital,St Jude: Mar-Jun14,NATL,Enterprise Web,Mike Green,3/2/2014,7/31/2014,a1D70000001KCTH
St. Jude Children’s Research Hospital,St Jude: Sept-Dec13-Feb14,NATL,Enterprise Web,Mike Green,12/1/2013,2/28/2014,a1D70000001JGPI
St. Jude Children’s Research Hospital,St Jude: Sept-Nov 2013,NATL,Enterprise Web,Mike Green,9/1/2013,11/30/2013,a1D70000001InnP
TagCash,TagCash Startup,NATL,,Mike Green,1/27/2014,2/14/2014,a1D70000001Jv8a
The RanchBook,Adventure Swap Analysis,NATL,Enterprise Web,Chad Chatfield,12/2/2013,12/27/2013,a1D70000001JGAu
The RanchBook,The RanchBook Project,NATL,,Chad Chatfield,5/2/2013,12/31/2014,a1D70000001ImwW
The RanchBook,TRB - Phase 2 & Extension,NATL,Enterprise Web,Chad Chatfield,11/4/2013,5/30/2014,a1D70000001JDcL
The Stelter Company,Stelter - Digital Marketing Platform,NATL,Enterprise Web,Mike Green,10/1/2013,3/31/2016,a1D70000001Ip1B
The Stelter Company,Stelter - Ongoing Support,NATL,,Phil Favia,1/27/2012,1/30/2015,a1D70000001ImxE
The Stelter Company,Stelter - Site Building,MW-CHI,,Phil Favia,6/16/2013,12/31/2014,a1D70000001Knwn
The Stelter Company,Stelter Site Builds 2014,NATL,,Mike Green,8/18/2014,10/4/2014,a1D70000002JlTN
United Methodist Communications,CMS Support,NATL,,Chad Chatfield,7/8/2013,3/24/2014,a1D70000001Imwn
"University of Michigan, LSA",UMich - Ongoing Support,MW-CHI,,Phil Favia,9/1/2010,12/31/2014,a1D70000001ImxC
"University of Michigan, LSA",UMich - Scholarship,MW-CHI,,Phil Favia,1/1/2013,3/31/2014,a1D70000001ImwP
University of Texas Medical Branch,UTMB - DATX Project,NATL,NoSQL,Mike Green,6/22/2015,2/29/2016,a1D70000003FRWr
University of Utah,University of Utah Support 13/14,NATL,,Chad Chatfield,7/1/2013,6/30/2014,a1D70000001ImxF
University of Virginia Press,Rotunda Modernization Analysis,DC,NoSQL,Niels Nielsen,3/6/2016,4/30/2016,a1D39000003RA6S
Verato,Verato-Solr Troubleshooting,DC,Enterprise Search,Niels Nielsen,9/24/2015,10/10/2015,a1D70000003UQ3b
Warner Bros.,Warner Bros. - Dexter,NATL,,Mike Green,3/31/2013,11/30/2013,a1D70000001ImwU
Warner Bros.,WB-Classics,NATL,,Mike Green,7/1/2013,12/13/2013,a1D70000001Imwj
Wells Fargo Bank,Consulting Services,NATL,,Mike Green,6/3/2013,12/31/2013,a1D70000001Imwd
Wells Fargo Bank,Wells Fargo - 8.5 Sizing,NATL,,Sean Hall,10/26/2014,1/31/2015,a1D70000002MdnA
Wells Fargo Bank,Wells Fargo - 8.5 Sizing (Sean),MW-CHI,,Mike Green,10/26/2014,2/2/2015,a1D70000002MdnF
Wells Fargo Bank,Wells Fargo - Dev Prepaid,NATL,,Mike Green,5/5/2014,8/31/2014,a1D70000001KYjI
Wells Fargo Bank,Wells Fargo - EMKR,MW-CHI,,Mike Green,8/25/2014,2/13/2015,a1D70000002M5hd
Wells Fargo Bank,Wells Fargo - May&June PPD,NATL,,Mike Green,5/1/2014,6/30/2014,a1D70000001KUly
Wells Fargo Bank,Wells Fargo - PM & BA 2,NATL,,Mike Green,9/2/2013,6/30/2014,a1D70000001Imwy
Wells Fargo Bank,Wells Fargo - Sean Hall,MW-CHI,,Phil Favia,6/30/2014,12/31/2014,a1D70000001KyCx
Wells Fargo Bank,Wells Fargo - Staff Agumentation,MW-CHI,,Sean Hall,11/3/2014,7/31/2015,a1D70000002MUTv
Wells Fargo Bank,Wells Fargo - TM Development,NATL,,Mike Green,8/1/2014,10/31/2014,a1D70000002JraE
Wells Fargo Bank,Wells Fargo - TM Sean,MW-CHI,,Mike Green,8/1/2014,10/31/2014,a1D70000002JrZu
Wells Fargo Bank,Wells Fargo 10.5 Upgrade Architect,MW-STL,Enterprise Web,Sean Hall,2/2/2015,3/31/2016,a1D70000002iowR
Wells Fargo Bank,Wells Fargo OpenText Development,MW-STL,Enterprise Web,Sean Hall,2/9/2015,1/9/2016,a1D70000002it4z
Wells Fargo Bank,Wells Fargo OpenText Technical Analyst,MW-STL,Enterprise Web,Sean Hall,2/23/2015,7/11/2015,a1D70000002it4p
Wells Fargo Bank,Wells Fargo PM & BA,NATL,,Mike Green,7/8/2013,8/9/2013,a1D70000001Imwi
Wells Fargo Bank,Wells Fargo Search,NATL,,Mike Green,4/7/2014,9/30/2014,a1D70000001KLa2
Wells Fargo Bank,Wells Fargo Solr Consulting,MW-STL,Enterprise Search,Sean Hall,6/1/2015,12/30/2016,a1D70000002dHQp
Wells Fargo Bank,Wells Fargo STL - 8.5 Sizing,MW-STL,,Sean Hall,10/26/2014,1/31/2015,a1D70000002irVI
Wells Fargo Bank,Wells Fargo STL - 8.5 Sizing (Sean),MW-STL,,Sean Hall,10/26/2014,2/2/2015,a1D70000002irVN
Wells Fargo Bank,Wells Fargo STL - EMKR,MW-STL,,Sean Hall,8/25/2014,2/28/2015,a1D70000002itn2
Wells Fargo Bank,Wells Fargo STL - Staff Augmentation,MW-STL,Enterprise Web,Sean Hall,11/3/2014,8/31/2015,a1D70000002irVD
Wells Fargo Bank,WEM 8.5 Architect,MW-CHI,Enterprise Web,Sean Hall,11/17/2014,12/31/2014,a1D70000002MdsN
Wells Fargo Bank,WEM Architecture Strategy,NATL,,Mike Green,10/14/2013,3/31/2014,a1D70000001ImxB
Wolters Kluwer Health - Learning Research and Practice,Health Library Product Development Consulting,DC,,Niels Nielsen,12/17/2013,8/30/2014,a1D70000001JfQS
Wolters Kluwer Health - Learning Research and Practice,SOW 15 - TheVault Q4 Support,DC,,Niels Nielsen,10/27/2013,7/26/2014,a1D70000001Imx5
